Emotion word,MC1,MC2,MC3,HK1,HK2,HK3,SG1,SG2,SG3
发慌 fahuang ‘nervous’,5.09 (1.1),"Ax (56.5), Fr (30.4)","0, 87, 13",4.77 (1.44),"Fr (61.9), Ax (19)","0, 66.7, 33.3",5.11 (0.97),"Ax (52.6), Fr (21.1)","5.3, 73.7, 21.1"
烦 fan ‘bothered’,5.18 (1.19),"Ax (73.9), Dg (13)","0, 82.6, 17.4",4.67 (1.21),"Dg (71.4), Ax (23.8)","4.8, 90.5, 4.8",4.63 (1.42),"Ax (47.4), Ot (31.6)","0, 84.2, 15.8"
犯愁 fanchou ‘anxious’,4.45 (1.2),"Ax (72.7), Sd (22.7)","0, 68.2, 31.8",4.47 (1.2),"Sd (38.1), Ax (28.6)","0, 80, 20",4.36 (1.67),"Ax (35), Un (30)","0, 71.4, 28.6"
反对 fandui ‘oppose’,2.39 (1.69),"Nu (47.8), Ot (30.4)","0, 17.4, 82.6",2.32 (1.79),"Nu (59.1), Ot (22.7)","0, 13.6, 86.4",3.04 (2.01),"Nu (43.5), Ot (26.1)","0, 60.9, 39.1"
反感 fangan ‘dislike’,4.73 (1.25),"Dg (95.5), Ag (4.5)","4.5, 95.5, 0",5.24 (1.19),"Dg (90.5), Ax (4.8)","4.8, 81, 14.3",5.05 (1.16),"Dg (100), NA (NA)","0, 90, 10"
放松 fangsong ‘relaxed’,2.14 (1.18),"Nu (36.4), Ot (31.8)","42.9, 0, 57.1",2.95 (1.84),"Ot (38.1), Hp (28.6)","50, 0, 50",2.35 (1.39),"Ot (60), Nu (30)","52.6, 0, 47.4"
放心 fangxin ‘at ease’,3.29 (1.67),"Hp (39.1), Ot (34.8)","70.8, 0, 29.2",3.59 (1.34),"Ot (63.6), Hp (27.3)","72.7, 0, 27.3",3 (1.86),"Ot (40), Nu (40)","53.3, 0, 46.7"
烦乱 fanluan ‘irritated’,5.35 (1.27),"Ax (78.3), Ot (13)","0, 91.3, 8.7",5.05 (1.29),"Ax (38.1), Dg (38.1)","0, 86.4, 13.6",5.05 (1.15),"Ax (68.4), Ot (15.8)","0, 68.4, 31.6"
烦闷 fanmen ‘irritated’,4.57 (1.21),"Ax (82.6), Dg (17.4)","0, 52.2, 47.8",4.55 (1.3),"Dg (40.9), Ot (27.3)","0, 95.5, 4.5",4.58 (1.18),"Ax (47.4), Dg (26.3)","0, 63.2, 36.8"
烦恼 fannao ‘worried’,4.86 (1.39),"Ax (72.7), Dg (13.6)","0, 86.4, 13.6",4.81 (0.91),"Ax (61.9), Ot (14.3)","0, 90.5, 9.5",3.9 (1.34),"Ax (65), Ot (20)","0, 75, 25"
烦人 fanren ‘annoying’,4.76 (1.27),"Dg (81.8), Ax (13.6)","0, 90.9, 9.1",4.48 (1.22),"Dg (90.5), Nu (4.8)","0, 95.2, 4.8",4.75 (1.04),"Dg (85), Ot (10)","0, 84.2, 15.8"
烦心 fanxin ‘annoyed’,4.75 (1.23),"Ax (75), Dg (20.8)","0, 79.2, 20.8",4.68 (1.3),"Ax (40.9), Dg (27.3)","0, 94.7, 5.3",5.07 (1.06),"Ax (73.3), Dg (13.3)","0, 80, 20"
烦杂 fanza ‘miscellaneous’,4.63 (1.41),"Ax (66.7), Dg (25)","0, 87.5, 12.5",4.68 (0.92),"Dg (72.7), Ax (22.7)","0, 90.9, 9.1",5.13 (1.02),"Dg (73.3), Ax (26.7)","0, 100, 0"
烦燥 fanzao ‘agitated’,5.3 (1.08),"Ax (95.7), Ot (4.3)","0, 82.6, 17.4",5.27 (1.01),"Dg (40.9), Ax (31.8)","4.5, 95.5, 0",5.32 (1.17),"Ax (42.1), Ag (26.3)","5.3, 89.5, 5.3"
烦躁 fanzao ‘agitated’,5.26 (1.19),"Ax (87), Ot (8.7)","0, 69.6, 30.4",5.18 (0.94),"Ax (40.9), Dg (31.8)","0, 95.5, 4.5",5.58 (1.18),"Ax (42.1), Ag (26.3)","0, 89.5, 10.5"
乏味 fawei ‘dull’,3.5 (1.44),"Dg (70.8), Ot (16.7)","0, 83.3, 16.7",3.59 (1.56),"Ot (50), Dg (40.9)","0, 90.9, 9.1",3.21 (1.93),"Dg (40), Nu (33.3)","0, 71.4, 28.6"
忿怒 fen ‘angry’,6.04 (0.98),"Ag (79.2), Dg (20.8)","4.2, 87.5, 8.3",5.91 (0.67),"Ag (95.5), Ot (4.5)","0, 72.7, 27.3",6 (0.78),"Ag (86.7), Un (13.3)","0, 92.3, 7.7"
愤怒 fen ‘angry’,6.43 (0.71),"Ag (100), NA (NA)","0, 69.6, 30.4",6 (0.74),"Ag (100), NA (NA)","0, 95.5, 4.5",6.16 (0.93),"Ag (100), NA (NA)","0, 84.2, 15.8"
疯狂 fengkuang ‘crazy’,4.96 (2.2),"Ot (60.9), Nu (17.4)","0, 43.5, 56.5",4.36 (2.37),"Ot (59.1), Nu (27.3)","4.5, 22.7, 72.7",5.13 (1.98),"Ot (65.2), Nu (13)","8.7, 30.4, 60.9"
忿恨 fenhen ‘resentful’,6.22 (0.83),"Ag (60.9), Dg (39.1)","0, 82.6, 17.4",5.77 (1.17),"Ag (72.7), Dg (27.3)","0, 95.5, 4.5",5.6 (0.86),"Dg (43.5), Ag (30.4)","0, 95, 5"
愤恨 fenhen ‘resentful’,6.45 (0.72),"Ag (63.6), Dg (27.3)","0, 95.5, 4.5",6.14 (1.08),"Ag (85.7), Dg (14.3)","4.8, 85.7, 9.5",6 (1.41),"Ag (65), Dg (15)","0, 90, 10"
愤慨 fenkai ‘resentful’,6.18 (0.72),"Ag (95.5), Ot (4.5)","18.2, 45.5, 36.4",6.1 (1.11),"Ag (95.2), Sp (4.8)","4.8, 81, 14.3",5.56 (1.21),"Ag (85), Un (10)","0, 88.9, 11.1"
愤懑 fenmen ‘resentful’,6.35 (0.87),"Ag (100), NA (NA)","0, 65.2, 34.8",6.14 (0.87),"Ag (95.5), Ax (4.5)","0, 100, 0",6.18 (0.86),"Ag (77.8), Un (11.1)","0, 100, 0"
负疚 fujiu ‘guilty’,5.54 (1.12),"Sd (50), Ot (41.7)","4.2, 75, 20.8",5.18 (0.98),"Sd (50), Ot (40.9)","4.5, 86.4, 9.1",4.92 (1.32),"Ot (33.3), Un (20)","0, 83.3, 16.7"
浮躁 fuzao ‘restless’,4.67 (1.4),"Ax (75), Ot (20.8)","0, 100, 0",5.09 (0.85),"Ag (45.5), Ax (36.4)","0, 95.5, 4.5",5.64 (0.61),"Ax (60), Ot (13.3)","0, 92.9, 7.1"
感动 gandong ‘moved’,4.65 (1.88),"Ot (47.8), Hp (30.4)","82.6, 0, 17.4",5.59 (1.23),"Hp (68.2), Ot (27.3)","95.5, 0, 4.5",5.05 (1.5),"Ot (52.6), Hp (31.6)","89.5, 0, 10.5"
感激 ganji ‘grateful’,5.39 (0.87),"Hp (56.5), Ot (43.5)","87, 4.3, 8.7",4.91 (1.59),"Hp (71.4), Ot (14.3)","85.7, 4.8, 9.5",4.47 (1.63),"Ot (52.6), Hp (31.6)","68.4, 0, 31.6"
感慨 gankai ‘sentimental’,3.73 (1.79),"Ot (63.6), Nu (22.7)","9.1, 4.5, 86.4",4.14 (1.86),"Ot (52.4), Sd (33.3)","0, 30, 70",4.05 (1.28),"Ot (55), Sd (35)","10.5, 31.6, 57.9"
感伤 ganshang ‘sentimental’,5 (1.17),"Sd (90.9), Ax (9.1)","0, 77.3, 22.7",4.86 (0.94),"Sd (100), NA (NA)","0, 81, 19",5.15 (1.15),"Sd (95), Ax (5)","0, 75, 25"
感谢 ganxie ‘gratitude’,4 (1.48),"Ot (54.5), Hp (36.4)","86.4, 0, 13.6",3.81 (1.53),"Hp (61.9), Ot (33.3)","76.2, 0, 23.8",4.1 (1.61),"Ot (50), Hp (40)","89.5, 0, 10.5"
高昂 gaoang ‘in high spirits’,5.29 (1.67),"Hp (58.3), Ot (33.3)","75, 0, 25",4.55 (2.1),"Ot (45.5), Hp (36.4)","59.1, 13.6, 27.3",4.42 (1.75),"Ot (46.7), Hp (20)","30.8, 15.4, 53.8"
高亢 gaokang ‘resounding’,5.22 (1.84),"Hp (52.2), Ot (34.8)","47.8, 0, 52.2",5.84 (1.39),"Hp (77.3), Un (13.6)","68.4, 5.3, 26.3",4.15 (2.32),"Un (31.6), Hp (26.3)","61.5, 7.7, 30.8"
高兴 gaoxing ‘pleased’,5.64 (1.33),"Hp (100), NA (NA)","86.4, 0, 13.6",5.19 (1.01),"Hp (100), NA (NA)","85.7, 0, 14.3",4.6 (1.2),"Hp (100), NA (NA)","95, 0, 5"
高涨 gaozhang ‘upsurge’,3.86 (2.16),"Hp (50), Nu (31.8)","54.5, 0, 45.5",5.48 (1.89),"Hp (71.4), Ot (19)","66.7, 0, 33.3",2.5 (2.03),"Nu (50), Ot (25)","23.5, 11.8, 64.7"
挂虑 gualv ‘worried’,4.32 (1.14),"Ax (78.3), Ot (17.4)","36.4, 22.7, 40.9",4.86 (0.87),"Ax (59.1), Ot (22.7)","4.5, 68.2, 27.3",5.11 (0.55),"Ax (47.8), Ot (26.1)","15.8, 36.8, 47.4"
关怀 guanhuai ‘care’,3.09 (1.86),"Ot (47.8), Nu (30.4)","68.2, 4.5, 27.3",3.24 (1.82),"Ot (42.9), Nu (33.3)","72.7, 0, 27.3",2.83 (1.95),"Ot (52.6), Nu (42.1)","70.6, 0, 29.4"
挂念 guanian ‘reminisce’,4.7 (1.65),"Ot (73.9), Ax (8.7)","65.2, 0, 34.8",3.82 (1.72),"Ot (45.5), Nu (18.2)","38.1, 0, 61.9",4.32 (1.52),"Ot (78.9), Sd (10.5)","26.3, 15.8, 57.9"
关切 guanqie ‘care’,3.86 (1.77),"Ot (59.1), Hp (22.7)","77.3, 0, 22.7",3.38 (1.7),"Ot (61.9), Nu (19)","50, 0, 50",3.22 (1.72),"Ot (70), Nu (15)","57.9, 0, 42.1"
关心 guanxin ‘care’,3.45 (1.56),"Ot (52.2), Nu (21.7)","68.2, 0, 31.8",3.14 (1.78),"Ot (52.4), Nu (28.6)","81, 0, 19",2.78 (1.75),"Ot (57.9), Nu (31.6)","52.9, 0, 47.1"
关注 guanzhu ‘pay close attention to’,1.7 (1.23),"Nu (69.6), Ot (26.1)","9.1, 0, 90.9",1.29 (0.93),"Nu (85.7), Ot (9.5)","9.5, 0, 90.5",1.58 (1.04),"Nu (68.4), Ot (31.6)","5.6, 11.1, 83.3"
挂牵 guaqian ‘reminisce’,4.04 (1.83),"Ax (39.1), Ot (34.8)","17.4, 0, 82.6",3.73 (1.76),"Ot (36.4), Ax (31.8)","28.6, 0, 71.4",4.24 (1.55),"Ot (42.1), Ax (31.6)","5.9, 29.4, 64.7"
挂心 guaxin ‘care’,3.95 (1.26),"Ax (39.1), Ot (34.8)","22.7, 18.2, 59.1",4.3 (1.23),"Ot (40.9), Ax (31.8)","25, 5, 70",3.33 (2.05),"Nu (40), Ax (40)","0, 26.7, 73.3"
过敏 guomin ‘allergic’,1.95 (1.73),"Nu (59.1), Ot (22.7)","0, 14.3, 85.7",2.62 (1.7),"Nu (42.9), Ax (23.8)","0, 36.8, 63.2",1.65 (1.15),"Nu (65), Ot (25)","0, 5.6, 94.4"
骇怪 haiguai ‘shocked’,5.71 (1.45),"Sp (75), Un (12.5)","0, 42.9, 57.1",5.56 (0.61),"Sp (45.5), Un (27.3)","0, 68.8, 31.3",5.25 (1.64),"Un (46.7), Sp (33.3)","12.5, 50, 37.5"
害怕 haipa ‘afraid’,5.78 (1.02),"Fr (95.7), Ot (4.3)","0, 52.2, 47.8",5.32 (1.18),"Fr (86.4), Sd (9.1)","4.5, 86.4, 9.1",4.95 (1.47),"Fr (94.7), Ot (5.3)","0, 73.7, 26.3"
害臊 haisao ‘shy’,4.13 (1.51),"Ot (65.2), Fr (17.4)","4.3, 26.1, 69.6",4.41 (1.11),"Ot (54.5), Fr (31.8)","4.5, 18.2, 77.3",3.95 (1.43),"Ot (47.8), Nu (13)","19, 19, 61.9"
害羞 haixiu ‘shy’,4.27 (1.17),"Ot (86.4), Nu (4.5)","4.5, 0, 95.5",3.67 (1.7),"Ot (52.4), Fr (19)","5, 10, 85",3.6 (1.28),"Ot (75), Ax (10)","20, 5, 75"
骇异 haiyi ‘shocked’,6.09 (1.04),"Sp (87), Fr (13)","0, 43.5, 56.5",4.68 (1.72),"Sp (45.5), Fr (13.6)","5.6, 55.6, 38.9",4.89 (0.74),"Un (52.6), Sp (26.3)","0, 44.4, 55.6"
后悔 houhui ‘regretful’,4.52 (1.28),"Sd (43.5), Ot (34.8)","0, 65.2, 34.8",4.59 (1.37),"Sd (45.5), Ax (27.3)","0, 81.8, 18.2",5 (1.06),"Sd (65.2), Ot (30.4)","0, 87, 13"
怀念 huainian ‘reminisce’,3.7 (1.54),"Ot (65.2), Sd (26.1)","65.2, 4.3, 30.4",4.73 (1.51),"Ot (50), Sd (31.8)","45.5, 4.5, 50",4.73 (1.25),"Ot (60.9), Sd (21.7)","36.4, 9.1, 54.5"
怀疑 huaiyi ‘suspect’,4.05 (1.49),"Ot (81.8), Ax (13.6)","4.5, 54.5, 40.9",3.86 (1.61),"Ax (47.6), Ot (33.3)","0, 70, 30",3.85 (1.65),"Ot (55), Ax (25)","0, 60, 40"
欢 huan ‘happy’,4.71 (1.62),"Hp (100), NA (NA)","91.7, 0, 8.3",4.86 (1.39),"Hp (100), NA (NA)","95.5, 0, 4.5",5.07 (1.39),"Hp (93.3), Ot (6.7)","86.7, 0, 13.3"
欢畅 huanchang ‘joyful’,5.82 (1.07),"Hp (100), NA (NA)","95.5, 0, 4.5",5.29 (1.31),"Hp (95.2), Ot (4.8)","95.2, 0, 4.8",5.2 (1.03),"Hp (95), Ot (5)","95, 0, 5"
惶惑 huanghuo ‘perplexed’,5.68 (1.14),"Fr (43.5), Ax (26.1)","0, 59.1, 40.9",5.19 (1.01),"Ax (31.8), Fr (22.7)","4.8, 76.2, 19",4.83 (1.5),"Fr (36.8), Ot (26.3)","0, 61.1, 38.9"
惶恐 huangkong ‘terrified’,5.95 (0.93),"Fr (95.5), Ax (4.5)","0, 86.4, 13.6",5.43 (1.26),"Fr (76.2), Ax (14.3)","0, 81, 19",5.65 (1.01),"Fr (90), Sp (5)","5, 75, 20"
慌乱 huangluan ‘anxious’,5.83 (0.99),"Ax (66.7), Fr (33.3)","4.2, 79.2, 16.7",5.36 (1.07),"Ax (63.6), Fr (27.3)","0, 90.9, 9.1",4.73 (1.44),"Ax (60), Fr (26.7)","0, 86.7, 13.3"
慌张 huangzhang ‘anxious’,5 (0.82),"Ax (79.2), Fr (16.7)","0, 66.7, 33.3",4.95 (1.11),"Ax (72.7), Fr (22.7)","4.5, 72.7, 22.7",5.27 (1.18),"Ax (73.3), Fr (13.3)","0, 73.3, 26.7"
欢快 huankuai ‘happy’,5.7 (1),"Hp (100), NA (NA)","100, 0, 0",5.45 (1.2),"Hp (100), NA (NA)","100, 0, 0",5.32 (1.22),"Hp (100), NA (NA)","94.7, 0, 5.3"
欢乐 huanle ‘happy’,5 (1.14),"Hp (100), NA (NA)","95.7, 0, 4.3",5.23 (1.54),"Hp (100), NA (NA)","100, 0, 0",5 (1.18),"Hp (100), NA (NA)","100, 0, 0"
欢喜 huanxi ‘joyful’,5.87 (0.99),"Hp (100), NA (NA)","95.7, 0, 4.3",5.14 (1.28),"Hp (100), NA (NA)","95.5, 0, 4.5",5.26 (1.45),"Hp (100), NA (NA)","100, 0, 0"
欢欣 huanxin ‘joyful’,5.13 (1.03),"Hp (100), NA (NA)","95.7, 0, 4.3",5.59 (1.15),"Hp (100), NA (NA)","100, 0, 0",4.91 (1.02),"Hp (100), NA (NA)","95.7, 0, 4.3"
欢娱 huanyu ‘pleasure’,4.75 (1.51),"Hp (95.8), Ot (4.2)","75, 0, 25",4.55 (1.2),"Hp (100), NA (NA)","81.8, 4.5, 13.6",5.29 (0.88),"Hp (100), NA (NA)","100, 0, 0"
欢愉 huanyu ‘delighted’,5.48 (0.97),"Hp (100), NA (NA)","95.7, 0, 4.3",5.05 (1.43),"Hp (90.9), Nu (4.5)","95.5, 0, 4.5",5.26 (1.12),"Hp (94.7), Ot (5.3)","94.7, 5.3, 0"
欢悦 huanyue ‘pleased’,5.74 (1.03),"Hp (100), NA (NA)","95.7, 0, 4.3",5.33 (0.84),"Hp (95.5), Dg (4.5)","95.5, 0, 4.5",5.16 (1.56),"Hp (94.7), Nu (5.3)","94.7, 5.3, 0"
悔恨 huihen ‘regretful’,5.78 (1.1),"Ot (56.5), Sd (30.4)","4.3, 69.6, 26.1",5.43 (1.26),"Ag (33.3), Sd (33.3)","0, 95.5, 4.5",5.42 (1.14),"Ot (47.4), Dg (26.3)","0, 84.2, 15.8"
灰心 huixin ‘discouraged’,4.43 (1.14),"Sd (56.5), Ot (34.8)","4.3, 87, 8.7",5.19 (0.91),"Sd (81), Ax (9.5)","0, 100, 0",4.79 (1.2),"Sd (52.6), Ot (36.8)","0, 89.5, 10.5"
火 huo ‘angry’,3.79 (2.45),"Nu (37.5), Ag (33.3)","26.1, 21.7, 52.2",3.52 (2.04),"Ag (54.5), Nu (31.8)","0, 42.9, 57.1",5 (1.9),"Ag (66.7), Ot (20)","0, 46.7, 53.3"
急 ji ‘anxious’,4.92 (1.55),"Ax (79.2), Ot (16.7)","0, 25, 75",3.59 (1.64),"Ax (72.7), Nu (13.6)","0, 22.7, 77.3",5.53 (0.96),"Ax (86.7), Ot (6.7)","0, 40, 60"
激昂 jiang ‘excited’,5.78 (1.14),"Hp (47.8), Ot (47.8)","82.6, 0, 17.4",5.59 (1.7),"Hp (50), Ot (40.9)","81.8, 0, 18.2",6 (1.41),"Ot (47.8), Hp (21.7)","68.4, 10.5, 21.1"
骄傲 jiaoao ‘proud’,4.79 (1.47),"Hp (70.8), Ot (20.8)","37.5, 8.3, 54.2",4.18 (1.43),"Hp (50), Ot (40.9)","27.3, 40.9, 31.8",4.27 (1.77),"Ot (66.7), Nu (20)","7.1, 28.6, 64.3"
娇宠 jiaochong ‘indulge’,3.74 (1.85),"Ot (52.2), Hp (26.1)","4.5, 59.1, 36.4",3.95 (1.87),"Ot (50), Hp (27.3)","18.2, 50, 31.8",3.11 (1.65),"Ot (43.5), Nu (26.1)","16.7, 27.8, 55.6"
骄横 jiaoheng ‘arrogant’,5.41 (1.72),"Ot (68.2), Dg (18.2)","0, 90.9, 9.1",4 (1.86),"Ot (42.9), Nu (19)","0, 83.3, 16.7",3.67 (2.32),"Ot (40), Un (40)","8.3, 58.3, 33.3"
焦急 jiaoji ‘worried’,5.5 (1.12),"Ax (100), NA (NA)","0, 79.2, 20.8",5.36 (1.19),"Ax (90.9), Fr (4.5)","0, 72.7, 27.3",5.8 (0.83),"Ax (100), NA (NA)","0, 66.7, 33.3"
骄矜 jiaojin ‘proud’,5.13 (1.36),"Ot (41.7), Un (37.5)","6.7, 73.3, 20",3.8 (1.6),"Ot (40.9), Un (31.8)","6.7, 53.3, 40",3.55 (1.88),"Ot (53.3), Un (26.7)","18.2, 45.5, 36.4"
焦渴 jiaoke ‘anxious’,4.77 (1.54),"Ax (78.3), Ot (13)","0, 50, 50",4.93 (1.18),"Ax (40.9), Un (31.8)","6.7, 60, 33.3",5.21 (0.56),"Ax (52.2), Un (34.8)","0, 86.7, 13.3"
焦虑 jiaolv ‘anxious’,5.59 (1.23),"Ax (100), NA (NA)","0, 63.6, 36.4",5.52 (1.3),"Ax (100), NA (NA)","0, 90.5, 9.5",5.4 (0.97),"Ax (95), Fr (5)","0, 80, 20"
骄慢 jiaoman ‘arrogant’,4.78 (1.86),"Dg (43.5), Ot (39.1)","0, 78.3, 21.7",4.38 (1.73),"Ot (54.5), Dg (22.7)","0, 81, 19",3.71 (2.03),"Ot (34.8), Dg (26.1)","0, 76.2, 23.8"
焦躁 jiaozao ‘anxious’,5.88 (0.93),"Ax (100), NA (NA)","0, 91.7, 8.3",5.41 (0.89),"Ax (90.9), Ot (4.5)","0, 90.9, 9.1",6 (0.82),"Ax (100), NA (NA)","0, 93.3, 6.7"
焦炙 jiaozhi ‘anxious’,5.71 (1.24),"Ax (87.5), Un (12.5)","0, 71.4, 28.6",5.64 (1.23),"Ax (50), Un (50)","0, 72.7, 27.3",5.92 (0.92),"Ax (73.3), Un (13.3)","0, 84.6, 15.4"
激动 jidong ‘excited’,5.88 (1.27),"Hp (54.2), Ot (37.5)","50, 0, 50",4.95 (2.14),"Ot (50), Nu (18.2)","0, 13.6, 86.4",5.53 (1.5),"Ot (46.7), Hp (13.3)","6.7, 26.7, 66.7"
嫉妒 jidu ‘jealous’,5.67 (1.34),"Dg (45.8), Ot (41.7)","0, 91.7, 8.3",5.55 (0.99),"Ot (45.5), Ag (31.8)","0, 100, 0",5.47 (1.45),"Ot (46.7), Ag (26.7)","0, 93.3, 6.7"
忌妒 jidu ‘jealous’,5.57 (1.47),"Ot (39.1), Dg (34.8)","0, 91.3, 8.7",5.59 (0.94),"Dg (45.5), Ag (27.3)","0, 95.5, 4.5",5.7 (0.8),"Dg (52.2), Ot (47.8)","0, 95.7, 4.3"
解恨 jiehen ‘vent one’s anger’,5.41 (1.27),"Hp (54.5), Ag (18.2)","27.3, 31.8, 40.9",4.46 (1.87),"Ot (42.9), Un (38.1)","53.8, 7.7, 38.5",4.6 (1.14),"Ot (50), Un (25)","46.7, 33.3, 20"
激愤 jifen ‘wrathful’,6.54 (1),"Ag (91.7), Dg (4.2)","8.3, 50, 41.7",6.41 (0.89),"Ag (86.4), Hp (4.5)","0, 54.5, 45.5",6.2 (0.91),"Ag (73.3), Ot (13.3)","0, 66.7, 33.3"
嫉恨 jihen ‘jealous’,6.26 (0.74),"Dg (82.6), Ag (13)","0, 95.7, 4.3",6.27 (0.62),"Dg (50), Ag (36.4)","0, 100, 0",6.11 (0.87),"Dg (52.6), Ag (26.3)","0, 100, 0"
忌恨 jihen ‘hate’,6.35 (0.76),"Dg (60.9), Ag (26.1)","0, 95.7, 4.3",6.14 (0.62),"Dg (63.6), Ag (31.8)","0, 100, 0",5.95 (0.77),"Dg (65.2), Ag (30.4)","0, 100, 0"
寂寞 jimo ‘lonely’,4.48 (1.31),"Sd (39.1), Ot (39.1)","0, 47.8, 52.2",4.91 (1.35),"Sd (72.7), Ot (18.2)","4.5, 86.4, 9.1",4.26 (1.58),"Sd (52.6), Ot (31.6)","0, 47.4, 52.6"
惊诧 jingcha ‘astonished’,5.57 (0.97),"Sp (100), NA (NA)","0, 8.7, 91.3",5.32 (1.14),"Sp (86.4), Fr (13.6)","4.5, 36.4, 59.1",5.52 (1.01),"Sp (78.3), Fr (13)","9.5, 33.3, 57.1"
惊愕 jinge ‘stunned’,6.26 (0.74),"Sp (95.7), Fr (4.3)","0, 17.4, 82.6",5.82 (0.78),"Sp (100), NA (NA)","9.1, 40.9, 50",6 (0.69),"Sp (78.3), Fr (8.7)","0, 76.2, 23.8"
惊骇 jinghai ‘frightened’,6.18 (0.89),"Sp (77.3), Fr (22.7)","4.5, 54.5, 40.9",6 (1.02),"Sp (61.9), Fr (33.3)","0, 66.7, 33.3",5.88 (1.08),"Sp (65), Un (15)","5.9, 76.5, 17.6"
惊惶 jinghuang ‘frightened’,5.96 (1.02),"Fr (58.3), Ax (25)","0, 87.5, 12.5",5.86 (0.97),"Fr (50), Sp (31.8)","0, 72.7, 27.3",5.73 (1.06),"Fr (53.3), Sp (33.3)","0, 86.7, 13.3"
惊慌 jinghuang ‘terrified’,5.39 (1.31),"Fr (43.5), Sp (39.1)","0, 56.5, 43.5",5.27 (0.96),"Fr (50), Sp (27.3)","0, 86.4, 13.6",5.58 (0.94),"Sp (52.6), Fr (31.6)","0, 68.4, 31.6"
惊惧 jingju ‘frightened’,6.39 (0.87),"Fr (65.2), Sp (30.4)","0, 60.9, 39.1",5.73 (0.81),"Fr (63.6), Sp (22.7)","0, 81.8, 18.2",5.64 (0.88),"Fr (52.2), Sp (43.5)","0, 63.6, 36.4"
