Emotion word,MC1,MC2,MC3,HK1,HK2,HK3,SG1,SG2,SG3
颓丧 tuisang ‘dispirited’,4.91 (1.25),"Ax (34.8), Ot (34.8)","0, 95.7, 4.3",4.73 (1.48),"Sd (45.5), Ax (18.2)","0, 95.5, 4.5",4.84 (1.31),"Sd (57.9), Ot (36.8)","0, 89.5, 10.5"
颓唐 tuitang ‘dejected’,5.18 (1.3),"Sd (39.1), Ot (34.8)","0, 100, 0",4.39 (1.06),"Ot (52.4), Sd (19)","0, 89.5, 10.5",4 (1.76),"Un (42.1), Ot (31.6)","0, 72.7, 27.3"
畏惧 weiju ‘fear’,5.46 (1.35),"Fr (100), NA (NA)","0, 75, 25",5.73 (0.75),"Fr (86.4), Ax (9.1)","0, 90.9, 9.1",6 (1.1),"Fr (93.3), Ot (6.7)","0, 80, 20"
为难 weinan ‘be in a difficult situation’,4.09 (1.04),"Ax (59.1), Ot (40.9)","4.5, 72.7, 22.7",3.95 (1.59),"Ot (52.4), Ax (23.8)","0, 75, 25",3.45 (1.6),"Ot (45), Nu (25)","0, 57.9, 42.1"
畏怯 weiqie ‘coward’,5.33 (1.25),"Fr (95.8), Ax (4.2)","0, 91.3, 8.7",5.27 (0.91),"Fr (68.2), Ax (31.8)","0, 90.9, 9.1",5.31 (1.64),"Fr (86.7), Un (13.3)","0, 100, 0"
委屈 weiqu ‘feel wronged’,4.74 (0.74),"Sd (87), Ax (8.7)","4.3, 47.8, 47.8",5.05 (0.98),"Sd (72.7), Ax (18.2)","0, 95.5, 4.5",4.89 (1.12),"Sd (57.9), Ot (36.8)","0, 94.7, 5.3"
窝火 wohuo ‘angry’,6.04 (0.79),"Ag (91.7), Hp (4.2)","4.2, 83.3, 12.5",5.3 (1.1),"Un (54.5), Ag (31.8)","0, 90, 10",5.5 (1),"Un (46.7), Ag (40)","0, 87.5, 12.5"
窝囊 wonang ‘feel vexed’,4.61 (1.74),"Dg (60.9), Ot (21.7)","0, 95.5, 4.5",4.73 (1.71),"Dg (40.9), Ot (27.3)","0, 95.5, 4.5",3.94 (2.11),"Un (30.4), Dg (26.1)","0, 93.8, 6.3"
窝心 woxin ‘pleased’,4.9 (1.3),"Hp (43.5), Un (13)","60, 25, 15",4.91 (1.16),"Hp (100), NA (NA)","100, 0, 0",5 (0.92),"Hp (65.2), Un (17.4)","84.2, 0, 15.8"
无辜 wugu ‘innocent’,2.35 (1.37),"Ot (52.2), Nu (30.4)","4.3, 13, 82.6",3 (1.83),"Ot (40.9), Nu (31.8)","13.6, 36.4, 50",1.77 (1.28),"Nu (65.2), Ot (26.1)","23.8, 4.8, 71.4"
无聊 wuliao ‘bored’,2.55 (1.75),"Ot (50), Nu (36.4)","0, 27.3, 72.7",2.57 (1.73),"Nu (42.9), Ot (42.9)","0, 20, 80",2 (1.26),"Ot (45), Nu (40)","0, 26.3, 73.7"
无奈 wunai ‘helpless’,4.08 (1.44),"Sd (50), Ot (37.5)","0, 75, 25",4.41 (1.44),"Ot (86.4), Sd (9.1)","0, 59.1, 40.9",4.67 (1.3),"Ot (53.3), Sd (20)","0, 66.7, 33.3"
喜爱 xiai ‘favorite’,4.52 (1.41),"Hp (91.3), Ot (4.3)","87, 0, 13",4.73 (1.45),"Hp (90.9), Nu (4.5)","95.5, 0, 4.5",4.96 (1.12),"Hp (100), NA (NA)","100, 0, 0"
想 xiang ‘think’,2.59 (1.9),"Nu (43.5), Ot (43.5)","13.6, 0, 86.4",1.86 (1.46),"Nu (63.6), Ot (18.2)","19, 0, 81",1.89 (1.8),"Nu (78.9), Ot (15.8)","11.1, 0, 88.9"
相信 xiangxin ‘believe’,3.57 (2.14),"Ot (60.9), Nu (30.4)","60.9, 0, 39.1",2.23 (1.93),"Nu (59.1), Ot (31.8)","50, 0, 50",3.26 (1.89),"Ot (39.1), Nu (30.4)","68.2, 0, 31.8"
羡慕 xianmu ‘admire’,4.52 (1.21),"Ot (69.6), Hp (13)","43.5, 13, 43.5",4.27 (1.17),"Ot (77.3), Hp (18.2)","45.5, 4.5, 50",3.83 (1.46),"Ot (65.2), Nu (17.4)","21.7, 21.7, 56.5"
闲适 xianshi ‘comfortable’,2.61 (1.52),"Hp (43.5), Ot (30.4)","69.6, 0, 30.4",3.36 (1.69),"Hp (59.1), Ot (27.3)","81.8, 0, 18.2",2.44 (1.34),"Ot (52.6), Nu (36.8)","22.2, 0, 77.8"
闲雅 xianya ‘elegant’,2.75 (1.61),"Hp (41.7), Ot (33.3)","78.3, 0, 21.7",3 (1.48),"Ot (40.9), Hp (31.8)","68.2, 0, 31.8",1.85 (1.51),"Nu (60), Ot (26.7)","23.1, 0, 76.9"
晓畅 xiaochang ‘contented’,4.5 (1.72),"Hp (45.5), Un (36.4)","85.7, 0, 14.3",4.75 (1.01),"Hp (47.6), Un (42.9)","91.7, 0, 8.3",3.67 (1.94),"Un (55), Ot (15)","75, 0, 25"
消沉 xiaochen ‘depressed’,4.92 (1.55),"Sd (66.7), Ot (25)","0, 100, 0",5.14 (1.06),"Sd (72.7), Ot (27.3)","0, 90.9, 9.1",4.4 (1.4),"Sd (53.3), Ot (33.3)","6.7, 73.3, 20"
消魂 xiaohun ‘enchanted’,4.7 (2.07),"Ot (50), Hp (16.7)","13.6, 9.1, 77.3",4.38 (1.49),"Ot (54.5), Un (27.3)","18.8, 18.8, 62.5",3.5 (1.84),"Ot (46.7), Nu (26.7)","7.7, 53.8, 38.5"
孝敬 xiaojing ‘filial’,3 (2.02),"Ot (56.5), Nu (39.1)","60.9, 0, 39.1",3.09 (2.07),"Nu (36.4), Ot (36.4)","68.2, 0, 31.8",3.14 (1.87),"Ot (43.5), Nu (34.8)","90.5, 4.8, 4.8"
逍遥 xiaoyao ‘leisurely’,3.52 (1.86),"Hp (56.5), Ot (21.7)","56.5, 0, 43.5",3.73 (1.86),"Hp (59.1), Ot (22.7)","71.4, 4.8, 23.8",3.26 (2.1),"Hp (36.8), Nu (36.8)","50, 5.6, 44.4"
吓人 xiaren ‘frightening’,5.05 (1.11),"Fr (81.8), Sp (18.2)","0, 54.5, 45.5",4.81 (1.43),"Sp (71.4), Fr (23.8)","0, 66.7, 33.3",4.4 (1.36),"Sp (45), Fr (35)","5, 40, 55"
喜欢 xihuan ‘like’,4.96 (1.14),"Hp (95.8), Ot (4.2)","91.7, 0, 8.3",4.95 (1.33),"Hp (95.5), Nu (4.5)","86.4, 0, 13.6",5.2 (1.56),"Hp (73.3), Ot (13.3)","86.7, 0, 13.3"
信服 xinfu ‘convinced’,3.77 (2),"Ot (72.7), Nu (22.7)","63.6, 0, 36.4",2.43 (1.89),"Nu (52.4), Ot (38.1)","52.6, 0, 47.4",3.11 (2.07),"Ot (50), Nu (35)","27.8, 5.6, 66.7"
心浮 xinfu ‘impatient’,3.95 (1.76),"Ax (45.8), Ot (29.2)","0, 76.2, 23.8",3.85 (1.75),"Un (40.9), Ax (22.7)","0, 84.6, 15.4",2.6 (1.62),"Un (33.3), Ot (26.7)","0, 30, 70"
兴奋 xingfen ‘excited’,6.14 (0.97),"Hp (100), NA (NA)","95.5, 0, 4.5",5.62 (1.17),"Hp (95.2), Ot (4.8)","90.5, 4.8, 4.8",5.4 (1.2),"Hp (95), Sp (5)","100, 0, 0"
幸福 xingfu ‘happy’,5.41 (1.4),"Hp (100), NA (NA)","100, 0, 0",5.33 (1.25),"Hp (95.2), Ot (4.8)","100, 0, 0",5.8 (0.81),"Hp (90), Ot (10)","90, 0, 10"
心寒 xinhan ‘disappointed’,5.7 (1.23),"Sd (69.6), Ot (26.1)","0, 78.3, 21.7",5.75 (0.99),"Fr (85.7), Sp (14.3)","0, 95.2, 4.8",5.26 (1.25),"Sd (52.6), Ot (42.1)","0, 89.5, 10.5"
心慌 xinhuang ‘anxious’,5 (1),"Ax (65.2), Fr (34.8)","0, 70.8, 29.2",5.05 (1.11),"Fr (68.2), Ax (22.7)","0, 81.8, 18.2",5.4 (0.61),"Ax (66.7), Fr (26.7)","0, 73.3, 26.7"
心急 xinji ‘impatient’,4.87 (1.42),"Ax (100), NA (NA)","0, 47.8, 52.2",4.59 (1.56),"Ax (86.4), Nu (9.1)","0, 50, 50",5.05 (1.19),"Ax (84.2), Ot (10.5)","0, 84.2, 15.8"
心焦 xinjiao ‘anxious’,5.13 (1.23),"Ax (100), NA (NA)","4.3, 73.9, 21.7",5.19 (0.79),"Ax (86.4), Fr (4.5)","0, 81, 19",5.14 (0.92),"Ax (87), Un (4.3)","0, 77.3, 22.7"
信赖 xinlai ‘trust’,3.78 (2.17),"Ot (65.2), Nu (30.4)","73.9, 0, 26.1",3.73 (2.05),"Ot (45.5), Nu (31.8)","77.3, 0, 22.7",3.52 (2),"Ot (56.5), Nu (30.4)","71.4, 0, 28.6"
心切 xinqie ‘anxious’,4.48 (1.74),"Ot (36.4), Ax (31.8)","23.8, 14.3, 61.9",4.87 (1.41),"Ax (38.1), Un (28.6)","21.4, 21.4, 57.1",3.94 (2.01),"Ax (30), Ot (25)","5.9, 11.8, 82.4"
信任 xinren ‘trust’,3.7 (2.35),"Ot (52.2), Nu (34.8)","69.6, 0, 30.4",3.05 (2.08),"Nu (42.9), Ot (38.1)","68.2, 0, 31.8",3.45 (1.92),"Ot (47.8), Nu (30.4)","72.7, 0, 27.3"
心酸 xinsuan ‘sad’,5.39 (0.82),"Sd (73.9), Ot (26.1)","0, 60.9, 39.1",5.24 (0.81),"Sd (77.3), Ot (9.1)","4.8, 85.7, 9.5",5.26 (0.96),"Sd (78.9), Ot (21.1)","0, 84.2, 15.8"
辛酸 xinsuan ‘sad’,4.91 (0.88),"Sd (65.2), Ot (34.8)","0, 60.9, 39.1",3.91 (1.93),"Sd (40.9), Ot (31.8)","4.5, 59.1, 36.4",4.91 (0.67),"Sd (60.9), Ot (30.4)","0, 72.7, 27.3"
欣慰 xinwei ‘pleased’,4.64 (0.98),"Hp (100), NA (NA)","95.5, 0, 4.5",5 (1.35),"Hp (100), NA (NA)","100, 0, 0",4.61 (1.01),"Hp (73.9), Ot (26.1)","100, 0, 0"
欣喜 xinxi ‘happy’,5.41 (1.23),"Hp (100), NA (NA)","95.5, 0, 4.5",4.81 (1.5),"Hp (100), NA (NA)","90.5, 0, 9.5",5.1 (1.14),"Hp (100), NA (NA)","100, 0, 0"
心虚 xinxu ‘guilty’,4.92 (0.95),"Fr (62.5), Ax (37.5)","0, 91.7, 8.3",4.68 (1.06),"Fr (72.7), Ax (27.3)","0, 95.5, 4.5",5.2 (0.98),"Fr (46.7), Ot (40)","0, 100, 0"
羞惭 xiucan ‘ashamed’,4.91 (1.38),"Ot (78.3), Ax (8.7)","4.5, 59.1, 36.4",5 (1),"Sd (45.5), Ot (40.9)","0, 95.5, 4.5",4.74 (1.52),"Ot (73.7), Sd (10.5)","0, 52.6, 47.4"
羞愧 xiukui ‘ashamed’,4.91 (1.38),"Ot (56.5), Fr (21.7)","0, 65.2, 34.8",4.5 (1.23),"Ot (40.9), Fr (27.3)","0, 81.8, 18.2",4.57 (1.38),"Ot (78.3), Sd (13)","0, 73.9, 26.1"
羞怯 xiuqie ‘shy’,3.88 (1.48),"Ot (41.7), Fr (37.5)","4.2, 16.7, 79.2",4 (1.51),"Fr (45.5), Ot (40.9)","0, 27.3, 72.7",4.62 (1.6),"Ot (57.1), Fr (21.4)","7.7, 38.5, 53.8"
羞涩 xiuse ‘shy’,4 (1.5),"Ot (73.9), Fr (17.4)","17.4, 0, 82.6",4.38 (1.25),"Ot (54.5), Fr (18.2)","19, 14.3, 66.7",4.24 (1.19),"Ot (52.2), Fr (17.4)","20, 20, 60"
喜悦 xiyue ‘joyful’,5.27 (1.32),"Hp (100), NA (NA)","95.5, 0, 4.5",5.1 (1.11),"Hp (100), NA (NA)","90.5, 0, 9.5",4.85 (1.39),"Hp (100), NA (NA)","100, 0, 0"
炫耀 xuanyao ‘show off’,5.14 (1.22),"Ot (50), Hp (40.9)","9.1, 77.3, 13.6",3.95 (1.56),"Ot (52.4), Hp (28.6)","9.5, 61.9, 28.6",3.9 (1.7),"Ot (60), Hp (20)","5.3, 68.4, 26.3"
厌烦 yanfan ‘bored’,5.5 (1.37),"Dg (100), NA (NA)","0, 90.9, 9.1",5.52 (0.79),"Dg (90.5), Ax (9.5)","0, 95.2, 4.8",5.65 (0.79),"Dg (80), Ot (10)","0, 95, 5"
痒痒 yangyang ‘itchy’,2.67 (1.61),"Nu (30.4), Ot (26.1)","14.3, 0, 85.7",2.55 (1.72),"Nu (45.5), Ot (27.3)","10.5, 5.3, 84.2",2 (1.63),"Nu (57.9), Ot (26.3)","5.6, 11.1, 83.3"
眼红 yanhong ‘jealous’,5.17 (1.2),"Ot (56.5), Dg (17.4)","0, 78.3, 21.7",4 (1.73),"Ot (50), Nu (18.2)","4.5, 50, 45.5",5.11 (1.07),"Ot (68.4), Dg (21.1)","0, 94.7, 5.3"
厌倦 yanjuan ‘bored’,4.71 (1.46),"Dg (79.2), Sd (8.3)","0, 91.7, 8.3",4.82 (0.98),"Dg (95.5), Sd (4.5)","0, 90.9, 9.1",5.53 (1.09),"Dg (73.3), Ot (26.7)","0, 100, 0"
厌恶 yanwu ‘disgust’,6 (1.06),"Dg (100), NA (NA)","0, 91.3, 8.7",5.67 (1.04),"Dg (100), NA (NA)","0, 95.5, 4.5",5.74 (1.12),"Dg (94.7), Sp (5.3)","5.3, 89.5, 5.3"
遗憾 yihan ‘regretful’,4.73 (1.68),"Sd (81.8), Ot (9.1)","4.5, 63.6, 31.8",5.24 (1.31),"Sd (66.7), Ot (28.6)","0, 85.7, 14.3",4.75 (1.22),"Sd (75), Ot (25)","0, 70, 30"
怡和 yihe ‘delightful’,3.75 (1.64),"Hp (54.5), Un (27.3)","100, 0, 0",3 (1.5),"Hp (33.3), Ot (28.6)","78.6, 0, 21.4",3.55 (1.67),"Un (45), Hp (30)","72.7, 0, 27.3"
疑惑 yihuo ‘doubt’,3.17 (1.37),"Ot (39.1), Sp (26.1)","0, 4.3, 95.7",3.1 (1.6),"Sp (31.8), Ot (27.3)","0, 19, 81",3.37 (1.49),"Ot (57.9), Nu (21.1)","10.5, 26.3, 63.2"
阴郁 yinyu ‘depressed’,5.36 (1.11),"Sd (63.6), Ax (22.7)","0, 95.5, 4.5",5.3 (1.14),"Sd (57.1), Ax (19)","5, 95, 0",5.65 (0.9),"Sd (60), Ax (15)","0, 94.1, 5.9"
疑心 yixin ‘suspicious’,3.74 (1.48),"Ot (39.1), Ax (30.4)","0, 54.5, 45.5",3.59 (1.8),"Ax (36.4), Ot (22.7)","0, 72.7, 27.3",4.61 (1.21),"Ax (43.5), Ot (30.4)","0, 82.6, 17.4"
抑郁 yiyu ‘depressed’,5.27 (1.32),"Sd (54.5), Ax (31.8)","4.5, 95.5, 0",5.95 (1.09),"Sd (57.1), Ax (33.3)","0, 81, 19",5.6 (0.92),"Sd (55), Ax (30)","0, 85, 15"
倚重 yizhong ‘rely heavily upon’,4.05 (1.56),"Ot (81.8), Nu (9.1)","55, 0, 45",1.5 (1.12),"Nu (66.7), Ot (19)","13.3, 6.7, 80",3.78 (2.04),"Un (55), Ot (30)","44.4, 11.1, 44.4"
拥护 yonghu ‘support’,4.75 (1.48),"Hp (66.7), Ot (29.2)","83.3, 0, 16.7",3.5 (1.85),"Ot (50), Nu (27.3)","68.2, 0, 31.8",1.93 (1.79),"Nu (73.3), Hp (6.7)","30.8, 7.7, 61.5"
忧愁 youchou ‘worried’,5.35 (0.91),"Sd (60.9), Ax (26.1)","0, 69.6, 30.4",5.67 (1.08),"Sd (90.5), Ax (9.5)","0, 100, 0",4.63 (1.49),"Sd (36.8), Ax (36.8)","0, 89.5, 10.5"
忧虑 youlv ‘worried’,5.09 (0.78),"Ax (87), Sd (8.7)","0, 65.2, 34.8",4.95 (0.88),"Ax (86.4), Fr (13.6)","0, 95.5, 4.5",5.22 (0.72),"Ax (56.5), Sd (34.8)","0, 95.7, 4.3"
忧郁 youyu ‘melancholy’,4.96 (0.86),"Sd (73.9), Ax (17.4)","0, 73.9, 26.1",5.68 (1.02),"Sd (50), Ax (45.5)","0, 95.5, 4.5",5.7 (0.69),"Sd (52.2), Ax (39.1)","0, 95.7, 4.3"
冤 yuan ‘wrongful’,5.63 (0.95),"Ot (41.7), Sd (41.7)","0, 83.3, 16.7",4.59 (1.47),"Ot (31.8), Sd (31.8)","0, 86.4, 13.6",5.53 (1.63),"Ot (40), Sd (26.7)","0, 93.3, 6.7"
怨恨 yuanhen ‘resent’,6.59 (0.72),"Dg (54.5), Ag (22.7)","4.5, 95.5, 0",6.1 (0.92),"Dg (61.9), Ag (28.6)","0, 100, 0",6.06 (0.85),"Dg (42.1), Ag (36.8)","0, 94.7, 5.3"
冤枉 yuanwang ‘feel wronged’,5 (1.59),"Sd (39.1), Ot (34.8)","4.3, 78.3, 17.4",4.9 (1.87),"Sd (28.6), Ot (23.8)","0, 90.9, 9.1",4.89 (1.17),"Ot (63.2), Sd (10.5)","0, 73.7, 26.3"
愿意 yuanyi ‘willing’,2.74 (1.51),"Ot (39.1), Hp (34.8)","56.5, 0, 43.5",2.32 (1.92),"Nu (59.1), Hp (22.7)","45.5, 0, 54.5",2.65 (1.78),"Nu (52.2), Hp (34.8)","65.2, 0, 34.8"
乐 yue ‘happy’,4.75 (1.39),"Hp (100), NA (NA)","95.8, 0, 4.2",5 (1.41),"Hp (100), NA (NA)","95.5, 0, 4.5",5.47 (1.09),"Hp (100), NA (NA)","93.3, 0, 6.7"
郁闷 yumen ‘depressed’,4.59 (1.19),"Sd (52.2), Ax (26.1)","0, 60.9, 39.1",4.82 (1.27),"Sd (36.4), Ax (31.8)","0, 90.9, 9.1",4.91 (1.1),"Sd (47.8), Ax (39.1)","0, 91.3, 8.7"
郁悒 yuyi ‘depressed’,5.64 (0.81),"Un (39.1), Ax (26.1)","0, 71.4, 28.6",5.82 (1.54),"Sd (52.4), Ax (19)","0, 100, 0",4.8 (1.17),"Un (47.4), Sd (36.8)","10, 80, 10"
愉悦 yuyue ‘pleasure’,4.91 (1.21),"Hp (95.7), Dg (4.3)","95.7, 4.3, 0",5.32 (1.14),"Hp (100), NA (NA)","100, 0, 0",5.14 (0.83),"Hp (91.3), Un (8.7)","100, 0, 0"
在乎 zaihu ‘care’,3.87 (1.54),"Ot (60.9), Ax (13)","43.5, 0, 56.5",3.59 (2.04),"Ot (40.9), Nu (31.8)","31.8, 0, 68.2",3.43 (1.69),"Ot (60.9), Nu (26.1)","54.5, 0, 45.5"
赞赏 zanshang ‘appreciate’,4.88 (1.27),"Hp (95.8), Nu (4.2)","91.7, 0, 8.3",4.64 (1.23),"Hp (90.9), Ot (9.1)","100, 0, 0",4.53 (1.67),"Hp (80), Nu (13.3)","86.7, 0, 13.3"
赞同 zantong ‘agree’,3.48 (1.89),"Hp (43.5), Ot (30.4)","56.5, 0, 43.5",2 (1.68),"Nu (59.1), Hp (31.8)","61.9, 0, 38.1",2.63 (2.23),"Nu (57.9), Ot (36.8)","55.6, 0, 44.4"
糟心 zaoxin ‘vexed’,4.9 (1.02),"Ax (30.4), Dg (30.4)","0, 95.2, 4.8",5.44 (0.5),"Un (59.1), Dg (18.2)","0, 100, 0",4.85 (1.35),"Un (43.5), Ax (34.8)","0, 76.9, 23.1"
憎恶 zengwu ‘loathe’,6.39 (0.77),"Dg (78.3), Ag (21.7)","0, 91.3, 8.7",6.36 (0.64),"Dg (86.4), Ag (9.1)","0, 100, 0",5.95 (0.9),"Dg (82.6), Ag (8.7)","0, 100, 0"
着急 zhaoji ‘worried’,4.65 (1.37),"Ax (82.6), Ot (8.7)","0, 21.7, 78.3",4.86 (1.12),"Ax (85.7), Ot (4.8)","0, 38.1, 61.9",4.89 (1.45),"Ax (78.9), Fr (10.5)","0, 42.1, 57.9"
珍爱 zhenai ‘cherish’,5.46 (1.22),"Hp (87.5), Ot (12.5)","87.5, 0, 12.5",4.73 (1.48),"Hp (68.2), Ot (27.3)","90.9, 0, 9.1",4.8 (1.64),"Hp (60), Ot (33.3)","93.3, 0, 6.7"
振奋 zhenfen ‘be inspired with enthusiasm’,5.82 (0.83),"Hp (81.8), Ot (18.2)","100, 0, 0",5.76 (1.41),"Hp (66.7), Ot (28.6)","100, 0, 0",5.65 (1.06),"Hp (70), Ot (30)","90, 0, 10"
震惊 zhenjing ‘shocked’,6.26 (0.94),"Sp (100), NA (NA)","0, 9.1, 90.9",5.77 (1),"Sp (100), NA (NA)","0, 36.4, 63.6",5.83 (1.27),"Sp (100), NA (NA)","0, 47.8, 52.2"
珍视 zhenshi ‘cherish’,5.25 (1.3),"Hp (87.5), Ot (8.3)","95.8, 0, 4.2",4.7 (1),"Hp (45.5), Ot (45.5)","95, 0, 5",3.69 (1.59),"Ot (40), Hp (26.7)","92.3, 0, 7.7"
珍惜 zhenxi ‘cherish’,4.23 (1.73),"Ot (77.3), Nu (13.6)","77.3, 0, 22.7",3.71 (1.88),"Ot (61.9), Nu (28.6)","71.4, 0, 28.6",3.35 (1.65),"Ot (55), Nu (25)","65, 0, 35"
钟爱 zhongai ‘favorite’,5.26 (1.26),"Hp (100), NA (NA)","87, 0, 13",5.1 (0.81),"Hp (90.9), Ot (4.5)","100, 0, 0",4.84 (1.39),"Hp (63.2), Ot (26.3)","78.9, 0, 21.1"
自爱 ziai ‘self-esteem’,2.59 (1.8),"Nu (50), Ot (31.8)","52.4, 0, 47.6",1.81 (1.4),"Nu (71.4), Ot (19)","36.8, 0, 63.2",2.79 (1.54),"Ot (55), Nu (35)","57.9, 0, 42.1"
自傲 ziao ‘proud’,5.48 (1.5),"Ot (69.6), Hp (17.4)","8.7, 78.3, 13",4.19 (1.68),"Ot (76.2), Nu (14.3)","0, 85.7, 14.3",4.32 (1.66),"Ot (78.9), Hp (10.5)","21.1, 68.4, 10.5"
自卑 zibei ‘inferior’,5.26 (1.22),"Ot (34.8), Sd (21.7)","0, 95.7, 4.3",4.67 (1.61),"Sd (76.2), Ax (9.5)","0, 100, 0",5.11 (1.48),"Sd (47.4), Ot (31.6)","0, 94.4, 5.6"
自大 zida ‘conceited’,4.87 (1.54),"Ot (43.5), Dg (34.8)","4.3, 91.3, 4.3",2.91 (1.88),"Nu (45.5), Ot (45.5)","0, 77.3, 22.7",4 (1.76),"Ot (52.2), Dg (21.7)","0, 76.2, 23.8"
自负 zifu ‘conceited’,5.57 (1.44),"Ot (65.2), Hp (13)","0, 95.7, 4.3",4.15 (1.77),"Ot (47.6), Sd (14.3)","0, 95, 5",3.78 (1.69),"Ot (31.6), Dg (26.3)","5.6, 55.6, 38.9"
自豪 zihao ‘proud’,6.18 (0.72),"Hp (100), NA (NA)","95.5, 0, 4.5",5.71 (0.82),"Hp (90.5), Ot (9.5)","95.2, 0, 4.8",4.65 (1.15),"Hp (75), Ot (20)","90, 0, 10"
自满 ziman ‘self-satisfied’,5.17 (1.52),"Ot (56.5), Hp (30.4)","0, 91.3, 8.7",4.29 (1.28),"Hp (57.1), Ot (33.3)","42.9, 52.4, 4.8",4.21 (1.73),"Hp (42.1), Ot (42.1)","27.8, 33.3, 38.9"
自信 zixin ‘confident’,4.57 (1.91),"Ot (47.8), Hp (43.5)","91.3, 0, 8.7",3.77 (1.86),"Hp (59.1), Ot (22.7)","95.2, 0, 4.8",3.68 (2.1),"Ot (63.2), Nu (26.3)","72.2, 0, 27.8"
自在 zizai ‘comfortable’,4 (1.29),"Hp (69.6), Ot (30.4)","87, 0, 13",3.55 (1.67),"Hp (77.3), Nu (13.6)","86.4, 0, 13.6",3.74 (1.54),"Hp (65.2), Ot (21.7)","73.9, 0, 26.1"
尊崇 zunchong ‘worship’,5.64 (1.3),"Ot (68.2), Hp (31.8)","95.5, 0, 4.5",3.29 (1.93),"Ot (57.1), Nu (33.3)","63.2, 0, 36.8",3.89 (2.11),"Ot (45), Hp (25)","94.7, 0, 5.3"
尊敬 zunjing ‘respect’,4.14 (1.82),"Ot (69.6), Hp (17.4)","90.9, 0, 9.1",3.48 (1.89),"Ot (52.4), Nu (28.6)","81.8, 4.5, 13.6",2.84 (1.78),"Ot (57.9), Nu (36.8)","72.2, 0, 27.8"
尊重 zunzhong ‘respect’,3.46 (1.94),"Ot (37.5), Nu (33.3)","73.9, 0, 26.1",3.23 (1.59),"Ot (68.2), Nu (22.7)","81, 0, 19",3.67 (2.02),"Ot (53.3), Nu (33.3)","80, 0, 20"
